,mols_bitswet,T_F,bitswet_smiles,id,cid
96,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D652D50>,False,COC1=CC2=C(C=C1)N3C4C25CCN6C5CC7C4C(CC3=O)OCC=C7C6,b_152,10512.0
97,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D652E40>,False,C[C@@]12CC[C@H]3C(=O)O[C@@H](C[C@]3([C@@H]1[C@@H]4C=C[C@]2(C(=O)O4)O)C)C5=COC=C5,b_154,188289.0
98,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D652120>,False,C[C@H]1[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC=C5[C@@]4(CC[C@@H](C5)N(C)C)C)CN1C.Br.Br,b_155,111109.0
99,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6520D0>,False,CC(=C)C1C2CC3(C4(CO4)C5C(C3(C1C(=O)O2)O)O5)C,b_158,433737.0
100,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D652210>,False,C1=CC=C2C(=C1)C=C(O2)C(=O)O,b_159,10331.0
101,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D652C60>,False,CC(CNC)C1CCCCC1.Cl,b_161,115662.0
102,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D652B70>,False,CCC1(C(=O)NC(=NC1=O)[O-])C2=CC=CC=C2.CCC1(C(=O)NC(=NC1=O)[O-])C2=CC=CC=C2.[Ca+2],b_162,24283.0
103,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D652D00>,False,CC(CC1CCCC1)NC.Cl,b_165,92798.0
104,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D652F80>,False,CC1=C(C(=O)C=CN1C)O,b_166,2972.0
105,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6522B0>,False,C1=C(SC(=N1)N)[N+](=O)[O-],b_167,8486.0
106,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D652DF0>,False,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(C(=O)C[C@H]3[C@H]2C(=O)C[C@H]4[C@@]3(CCC(=O)C4)C)C,b_169,6674.0
107,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D652CB0>,False,C[C@@H](CC1=CC=CC=C1)N.C[C@@H](CC1=CC=CC=C1)N.OS(=O)(=O)O,b_170,5825.0
108,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA38670>,False,C[C@H](CN1CCOCC1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N4CCCC4.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,b_172,92942.0
109,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA38940>,False,C1C[C@H]([C@H](O[C@@H]1CN)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N)N)N.[O-]S(=O)(=O)[O-],b_174,162862.0
